Ride ID,Request Time,Customer ID,Pickup Location,Drop Location,Ride Type,Estimated Fare,Actual Fare,Distance (km),Estimated Time (mins),Actual Time (mins),Traffic Condition,Driver ID,Vehicle Type,Driver Rating,Payment Method,Payment Status,Ride Status,Customer Rating
79efd31e,43:27.9,CUST4935,Kolkata,Bangalore,Auto,1355.89,1401.476817,7.59,20,18,High,DRV168,Electric,4.7,Credit Card,Failed,No-show,3
75ee4cc8,27:27.9,CUST3532,Bangalore,Ahmedabad,Car,910.52,887.5554307,20.8,21,31,High,DRV383,Sedan,4.2,UPI,Pending,No-show,3
4bc4129c,11:27.9,CUST2356,Pune,Chennai,Auto,86.28,124.5167555,16.09,6,7,High,DRV126,Electric,4.8,Credit Card,Pending,Completed,3.6
c8cacb82,46:27.9,CUST9931,Hyderabad,Mumbai,Bike,465.14,539.4520125,17.72,42,50,Low,DRV206,Bike,4.8,Debit Card,Failed,Completed,1
0bcf3f46,02:27.9,CUST5794,Mumbai,Ahmedabad,Bike,307.65,278.0934028,17.1,29,27,Low,DRV387,Bike,3.5,Cash on Delivery,Failed,Completed,1.5
301773cb,47:27.9,CUST3355,Bangalore,Chennai,Bike,971.62,947.5683122,23.64,13,23,Low,DRV151,Bike,3,UPI,Failed,Cancelled,3
542e3b0b,38:27.9,CUST5385,Delhi,Mumbai,Auto,1008.86,1036.392053,12.05,18,13,Medium,DRV880,Bike,3.7,Cash on Delivery,Success,Completed,1.3
68c3b9ff,47:27.9,CUST1964,Mumbai,Delhi,Bike,720.74,694.0318222,13.29,16,13,Medium,DRV614,Bike,3.6,Wallet,Failed,No-show,3
3b336b2b,03:27.9,CUST9473,Mumbai,Delhi,Car,579.71,571.903218,24.88,44,46,Low,DRV398,Electric,4.1,Credit Card,Pending,No-show,3
5aa4dab0,16:27.9,CUST9377,Pune,Delhi,Car,570.32,569.7881866,4.35,20,15,Medium,DRV237,Hatchback,4.6,Debit Card,Failed,Cancelled,3
17f6d959,04:27.9,CUST9594,Pune,Chennai,Auto,623.06,687.1078204,17.57,40,47,Medium,DRV473,Hatchback,3.8,UPI,Pending,No-show,3
0132aa70,15:27.9,CUST2499,Bangalore,Mumbai,Car,994.59,1029.435732,13.24,17,18,High,DRV368,Sedan,4.3,Cash on Delivery,Pending,No-show,3
7bc3da3c,21:27.9,CUST7481,Chennai,Bangalore,Bike,1281.61,1338.492174,7.71,19,27,Medium,DRV361,Bike,4.9,UPI,Pending,Completed,1.3
5dedb512,53:27.9,CUST8501,Pune,Kolkata,Bike,286.26,301.4940043,18.34,29,24,Medium,DRV770,Bike,4.2,Cash on Delivery,Success,No-show,3
0f00796f,43:27.9,CUST8351,Ahmedabad,Chennai,Car,1314.01,1335.770595,24.07,12,14,High,DRV589,SUV,3.4,Cash on Delivery,Pending,No-show,3
6c5507ef,14:27.9,CUST9049,Ahmedabad,Chennai,Car,1054.72,1044.120225,7.82,21,28,High,DRV590,Electric,4.3,Credit Card,Failed,Completed,3.5
cebc3e50,32:27.9,CUST4909,Pune,Mumbai,Bike,1079.57,1077.739371,9.71,33,42,Low,DRV467,Bike,3.3,Cash on Delivery,Pending,Completed,1.5
8fc411ef,44:27.9,CUST4756,Hyderabad,Chennai,Auto,590.86,574.0844839,6.18,35,44,Medium,DRV624,Sedan,4.8,Wallet,Failed,Cancelled,3
f94d8dc2,39:27.9,CUST3061,Bangalore,Mumbai,Auto,455.26,451.7622387,5.77,39,46,Low,DRV718,Hatchback,3.9,Credit Card,Failed,Completed,3.6
fd624678,10:27.9,CUST6175,Ahmedabad,Pune,Bike,358.92,356.7432371,13.32,13,23,Low,DRV588,Bike,3.9,UPI,Pending,Cancelled,3
cfc588ee,35:27.9,CUST4880,Delhi,Bangalore,Car,631.27,685.8296186,19.47,5,15,Low,DRV813,Sedan,3.3,UPI,Pending,Completed,4
9f754d55,34:27.9,CUST6727,Ahmedabad,Pune,Car,69.48,66.16378556,4.35,31,39,High,DRV804,SUV,3.5,Cash on Delivery,Pending,No-show,3
6bf034f1,22:27.9,CUST5544,Chennai,Ahmedabad,Auto,1417.72,1411.283615,19.36,14,13,Medium,DRV962,Bike,4.8,Cash on Delivery,Success,Completed,3.9
27376c4a,28:27.9,CUST6447,Mumbai,Hyderabad,Car,659.77,638.8255969,10.38,42,38,Medium,DRV280,Sedan,4,Cash on Delivery,Success,Completed,4.7
84c52794,02:27.9,CUST9196,Bangalore,Hyderabad,Auto,509.04,540.1442368,15.19,23,32,Low,DRV905,Electric,4.9,Cash on Delivery,Pending,No-show,3
8ceaa339,54:27.9,CUST9189,Kolkata,Delhi,Auto,246.73,243.9586737,11.51,45,44,Low,DRV698,Sedan,4,UPI,Success,Completed,1.3
a40f0457,01:27.9,CUST7793,Delhi,Hyderabad,Car,375.37,431.215538,3.4,45,47,High,DRV665,Bike,4.4,Debit Card,Failed,Completed,4
642c4b42,07:27.9,CUST9792,Delhi,Mumbai,Bike,930.03,945.4322789,21.03,28,33,Medium,DRV694,Bike,3.2,Debit Card,Pending,No-show,3
7800a8ce,47:27.9,CUST5800,Kolkata,Bangalore,Auto,69.18,53.1886402,15.73,45,53,Medium,DRV198,Electric,5,Wallet,Failed,Cancelled,3
3cddd5eb,47:27.9,CUST8535,Pune,Delhi,Auto,1319.91,1344.935037,7.22,29,37,High,DRV857,Electric,4.1,Cash on Delivery,Success,Completed,1.1
2463acd2,49:27.9,CUST8983,Delhi,Kolkata,Auto,155.81,134.1458556,22.51,30,26,Medium,DRV484,Electric,4.6,Debit Card,Pending,No-show,3
a173f283,22:27.9,CUST2611,Pune,Hyderabad,Car,500.31,553.4118477,13.59,22,25,High,DRV408,SUV,4.8,Wallet,Pending,Cancelled,3
b5046ee6,45:27.9,CUST6316,Ahmedabad,Pune,Bike,769.53,773.3407456,18.87,33,34,Low,DRV666,Bike,4,Credit Card,Success,Cancelled,3
dc4340db,00:27.9,CUST7882,Pune,Kolkata,Car,731.94,751.4812102,17.99,17,18,Low,DRV470,Hatchback,4.8,Credit Card,Success,Completed,3.3
4813d5e6,03:27.9,CUST9921,Pune,Chennai,Car,1079.23,1097.617713,18.78,36,33,High,DRV637,Hatchback,3.5,Credit Card,Pending,Cancelled,3
fd04b704,33:27.9,CUST7348,Bangalore,Kolkata,Auto,1313.63,1390.217004,9.8,18,23,Low,DRV326,SUV,4.7,Wallet,Pending,Completed,1.2
5848cf00,12:27.9,CUST8577,Delhi,Mumbai,Auto,1122.92,1161.212405,10.17,24,22,High,DRV399,Bike,4.5,Debit Card,Pending,Cancelled,3
b7f22dfe,32:27.9,CUST4127,Chennai,Kolkata,Car,336.46,350.3266115,22.63,15,15,Low,DRV261,Hatchback,3.9,UPI,Pending,Cancelled,3
